mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,3518262,235.061171,235.061197,0.026,0.109,C12 H11 O5,12,11,0,5,0,12,1,0.416666667,26,2,0,0.109,2.96533E+11,1.18647E-05,439.2748877,0.473684211,7,-0.166666667,0.201274433,235,1.763875673,233,0.076689932,235,0.135926137,235,0.115546096,235
-1000,2294852,235.082435,235.082326,-0.109,-0.462,C9 H15 O7,9,15,0,7,0,16,1.777777778,0.777777778,20,-5,0,0.462,2.96533E+11,7.73894E-06,439.2748877,-0.272727273,2,-0.222222222,0.180169025,235,1.742910724,233,0.055573326,235,0.157061854,235,0.136679981,235
637.55,7573325,235.09763,235.097583,-0.047,-0.201,C13 H15 O4,13,15,0,4,0,16,1.230769231,0.307692308,28,2,0,0.201,2.96533E+11,2.55396E-05,439.2748877,0.363636364,6,-0.615384615,0.164929061,235,1.727772183,233,0.040325276,235,0.172323704,235,0.151940509,235
294.77,4286308,235.134056,235.133968,-0.088,-0.373,C14 H19 O3,14,19,0,3,0,20,1.428571429,0.214285714,30,2,0,0.373,2.96533E+11,1.44547E-05,439.2748877,0.28,5,-1,0.128584689,235,1.691669685,233,0.003961619,235,0.208720271,235,0.188333921,235
192.46,4279311,237.076836,237.076847,0.011,0.048,C12 H13 O5,12,13,0,5,0,14,1.166666667,0.416666667,26,1,0,0.048,2.96533E+11,1.44311E-05,439.2748877,0.368421053,6,-0.333333333,0.187875125,237,1.763875673,235,0.062222312,237,0.152216939,237,0.131662139,237
-1000,2453016,237.092067,237.092103,0.036,0.153,C16 H13 O2,16,13,0,2,0,14,0.875,0.125,34,8,0,0.153,2.96533E+11,8.27232E-06,439.2748877,0.6,10,-0.625,0.17263616,237,1.748738124,235,0.046975261,237,0.167477789,237,0.146921667,237
109.75,8731685,237.113258,237.113233,-0.025,-0.107,C13 H17 O4,13,17,0,4,0,18,1.384615385,0.307692308,28,1,0,0.107,2.96533E+11,2.94459E-05,439.2748877,0.272727273,5,-0.769230769,0.151529754,237,1.727772183,235,0.025857656,237,0.188614507,237,0.168056552,237
98.84,23612456,237.116619,237.116604,-0.015,-0.063,C10 H21 O4 S,10,21,0,4,1,22,2.2,0.4,22,-4,1,0.063,2.96533E+11,7.96284E-05,439.2748877,-0.428571429,0,-1.2,0.148162518,237,1.724427356,235,0.022488634,237,0.191986578,237,0.171428332,237
-1000,2823227,237.149566,237.149618,0.052,0.221,C14 H21 O3,14,21,0,3,0,22,1.571428571,0.214285714,30,1,0,0.221,2.96533E+11,9.52078E-06,439.2748877,0.2,4,-1.142857143,0.115185382,237,1.691669685,235,0.010506,237,0.225011074,237,0.204449965,237
582.6,2703459,238.072057,238.072096,0.039,0.166,C11 H12 N O5,11,12,1,5,0,13,1.181818182,0.454545455,25,1,1,0.166,2.96533E+11,9.11689E-06,439.2748877,0.333333333,6,0,0.193737429,238,1.77635403,236,0.067557125,238,0.147782342,238,0.127141253,238
485.93,2201701,238.07554,238.075467,-0.072,-0.303,C8 H16 N O5 S,8,16,1,5,1,17,2.125,0.625,19,-4,2,0.303,2.96533E+11,7.42481E-06,439.2748877,-1,1,-0.25,0.190370193,238,1.773009203,236,0.064188103,238,0.151154414,238,0.130513033,238
-1000,11380911,239.071385,239.071368,-0.017,-0.071,C15 H11 O3,15,11,0,3,0,12,0.8,0.2,32,7,0,0.071,2.96533E+11,3.83799E-05,439.2748877,0.62962963,10,-0.4,0.195581225,239,1.784840622,237,0.068871299,239,0.147372024,239,0.126644298,239
