mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,3146049,203.107581,203.107753,0.172,0.847,C13 H15 O2,13,15,0,2,0,16,1.230769231,0.153846154,28,4,0,0.847,1.4779E+11,2.12872E-05,447.7206444,0.416666667,6,-0.923076923,0.119038931,203,1.469225312,202,0.011390037,203,0.172323704,203,0.154714059,203
665.88,2198437,205.043907,205.044108,0.201,0.981,C10 H9 N2 O S,10,9,2,1,1,10,1,0.1,24,6,3,0.981,1.4779E+11,1.48754E-05,447.7206444,0.538461538,7,0,0.184846083,205,1.547904646,203,0.076170903,205,0.109294298,205,0.091516769,205
335.72,4715178,205.050512,205.050632,0.121,0.588,C11 H9 O4,11,9,0,4,0,10,0.909090909,0.363636364,24,3,0,0.588,1.4779E+11,3.19045E-05,447.7206444,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
-1000,3519684,205.086903,205.087018,0.114,0.558,C12 H13 O3,12,13,0,3,0,14,1.166666667,0.25,26,3,0,0.558,1.4779E+11,2.38154E-05,447.7206444,0.428571429,6,-0.666666667,0.141983996,205,1.50532781,203,0.033286074,205,0.152217939,205,0.13443669,205
6.17,103462608,205.108027,205.108147,0.12,0.586,C9 H17 O5,9,17,0,5,0,18,2,0.555555556,20,-4,0,0.586,1.4779E+11,0.000700063,447.7206444,-0.230769231,1,-0.888888889,0.120878589,205,1.484362861,204,0.012169468,205,0.173353656,205,0.155570575,205
-1000,4665054,205.123273,205.123403,0.13,0.634,C13 H17 O2,13,17,0,2,0,18,1.384615385,0.153846154,28,3,0,0.634,1.4779E+11,3.15654E-05,447.7206444,0.333333333,5,-1.076923077,0.105639624,205,1.469225312,204,0.003077583,205,0.188614507,205,0.170830103,205
-1000,2149112,205.159715,205.159789,0.074,0.362,C14 H21 O,14,21,0,1,0,22,1.571428571,0.071428571,30,3,0,0.362,1.4779E+11,1.45416E-05,447.7206444,0.259259259,4,-1.428571429,0.069294253,205,1.433121822,204,0.039442238,205,0.225012074,205,0.207224515,205
668.82,2063865,206.056904,206.057115,0.211,1.025,C9 H8 N3 O3,9,8,3,3,0,9,1,0.333333333,23,4,3,1.025,1.4779E+11,1.39648E-05,447.7206444,0.555555556,7,0.666666667,0.172970215,206,1.54276288,204,0.063758133,206,0.122623346,206,0.104757988,206
248.32,3524645,207.012014,207.012139,0.125,0.603,C10 H7 O3 S,10,7,0,3,1,8,0.8,0.3,22,4,1,0.603,1.4779E+11,2.3849E-05,447.7206444,0.6,7,0,0.219012604,207,1.595153921,205,0.10929435,207,0.077950961,207,0.060002802,207
624.9,2616882,207.029811,207.029897,0.086,0.416,C10 H7 O5,10,7,0,5,0,8,0.8,0.5,22,2,0,0.416,1.4779E+11,1.77067E-05,447.7206444,0.6,7,0.2,0.201274433,207,1.577533798,205,0.091546767,207,0.095714607,207,0.077764908,207
-1000,4672588,207.066158,207.066282,0.124,0.6,C11 H11 O4,11,11,0,4,0,12,1.090909091,0.363636364,24,2,0,0.6,1.4779E+11,3.16163E-05,447.7206444,0.444444444,6,-0.363636364,0.16493006,207,1.5414313,205,0.055183111,207,0.132111174,207,0.114158321,207
136.47,5789799,207.102542,207.102668,0.126,0.607,C12 H15 O3,12,15,0,3,0,16,1.333333333,0.25,26,2,0,0.607,1.4779E+11,3.91758E-05,447.7206444,0.333333333,5,-0.833333333,0.128584689,207,1.50532781,205,0.018818455,207,0.168508742,207,0.150552733,207
-1000,4959361,207.138929,207.139053,0.125,0.601,C13 H19 O2,13,19,0,2,0,20,1.538461538,0.153846154,28,2,0,0.601,1.4779E+11,3.35567E-05,447.7206444,0.25,4,-1.230769231,0.092240317,207,1.469225312,206,0.017545202,207,0.204905309,207,0.186946146,207
477.2,2677527,208.061462,208.061531,0.069,0.333,C10 H10 N O4,10,10,1,4,0,11,1.1,0.4,23,2,1,0.333,1.4779E+11,1.81171E-05,447.7206444,0.428571429,6,0,0.170792364,208,1.553909657,206,0.060517924,208,0.127676577,208,0.109637435,208
231.07,5265882,209.045434,209.045547,0.113,0.539,C10 H9 O5,10,9,0,5,0,10,1,0.5,22,1,0,0.539,1.4779E+11,3.56308E-05,447.7206444,0.466666667,6,0,0.187875125,209,1.577533798,207,0.077079148,209,0.112005409,209,0.093880951,209
-1000,7367156,209.081811,209.081932,0.122,0.581,C11 H13 O4,11,13,0,4,0,14,1.272727273,0.363636364,24,1,0,0.581,1.4779E+11,4.98487E-05,447.7206444,0.333333333,5,-0.545454545,0.151530753,209,1.5414313,207,0.040715491,209,0.148401977,209,0.130274364,209
-1000,3202550,209.085159,209.085304,0.144,0.691,C8 H17 O4 S,8,17,0,4,1,18,2.25,0.5,18,-4,1,0.691,1.4779E+11,2.16695E-05,447.7206444,-0.6,0,-1,0.148162518,209,1.538085481,207,0.037345469,209,0.151775049,209,0.133647144,209
-1000,4075022,209.118213,209.118318,0.105,0.501,C12 H17 O3,12,17,0,3,0,18,1.5,0.25,26,1,0,0.501,1.4779E+11,2.7573E-05,447.7206444,0.238095238,4,-1,0.115185382,209,1.50532781,207,0.004350835,209,0.184799544,209,0.166668777,209
-1000,6601256,209.154575,209.154703,0.128,0.612,C13 H21 O2,13,21,0,2,0,22,1.692307692,0.153846154,28,1,0,0.612,1.4779E+11,4.46664E-05,447.7206444,0.166666667,3,-1.384615385,0.07884101,209,1.469225312,208,0.032012821,209,0.221196111,209,0.20306219,209
-1000,8065216,210.077085,210.077181,0.097,0.46,C10 H12 N O4,10,12,1,4,0,13,1.3,0.4,23,1,1,0.46,1.4779E+11,5.4572E-05,447.7206444,0.285714286,5,-0.2,0.157393057,210,1.553909657,208,0.046050304,210,0.14396738,210,0.125753478,210
