mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,8851186,181.050659,181.050632,-0.026,-0.146,C9 H9 O4,9,9,0,4,0,10,1.111111111,0.444444444,20,1,0,0.146,1.00096E+11,8.84268E-05,400.2868923,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
539.48,2185983,181.069139,181.06926,0.121,0.668,C10 H13 O S,10,13,0,1,1,14,1.4,0.1,22,3,1,0.668,1.00096E+11,2.18388E-05,400.2868923,0.294117647,4,-1,0.132923553,181,1.336606058,180,0.036955254,181,0.126824369,181,0.111125483,181
-1000,3629835,181.087046,181.087018,-0.028,-0.156,C10 H13 O3,10,13,0,3,0,14,1.4,0.3,22,1,0,0.156,1.00096E+11,3.62635E-05,400.2868923,0.294117647,4,-0.8,0.115185382,181,1.318985935,180,0.019207671,181,0.144588014,181,0.128887589,181
500.35,2153937,182.082344,182.082267,-0.077,-0.425,C9 H12 N O3,9,12,1,3,0,13,1.444444444,0.333333333,21,1,1,0.425,1.00096E+11,2.15187E-05,400.2868923,0.230769231,4,-0.444444444,0.121047686,182,1.331464292,181,0.024542484,182,0.140153418,182,0.124366703,182
-1000,8054934,183.066306,183.066282,-0.024,-0.129,C9 H11 O4,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0,0.129,1.00096E+11,8.04719E-05,400.2868923,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
-1000,4904112,183.102712,183.102668,-0.044,-0.242,C10 H15 O3,10,15,0,3,0,16,1.6,0.3,22,0,0,0.242,1.00096E+11,4.8994E-05,400.2868923,0.176470588,3,-1,0.101786075,183,1.318985935,182,0.004740051,183,0.160878817,183,0.145003633,183
-1000,2841802,183.139126,183.139053,-0.072,-0.396,C11 H19 O2,11,19,0,2,0,20,1.818181818,0.181818182,24,0,0,0.396,1.00096E+11,2.83907E-05,400.2868923,0.1,2,-1.454545455,0.065441703,183,1.282883437,182,0.031623605,183,0.197275384,183,0.181397045,183
8.06,233244240,185.081958,185.081932,-0.026,-0.139,C9 H13 O4,9,13,0,4,0,14,1.555555556,0.444444444,20,-1,0,0.139,1.00096E+11,0.0023302,400.2868923,0.142857143,3,-0.666666667,0.124732139,185,1.355089425,184,0.026637088,185,0.140772052,185,0.124725263,185
-1000,4348529,185.118338,185.118318,-0.02,-0.109,C10 H17 O3,10,17,0,3,0,18,1.8,0.3,22,-1,0,0.109,1.00096E+11,4.34435E-05,400.2868923,0.058823529,2,-1.2,0.088386768,185,1.318985935,184,0.009727568,185,0.177169619,185,0.161119676,185
-1000,4429452,185.154744,185.154703,-0.041,-0.221,C11 H21 O2,11,21,0,2,0,22,2,0.181818182,24,-1,0,0.221,1.00096E+11,4.42519E-05,400.2868923,0,1,-1.636363636,0.052042395,185,1.282883437,184,0.046091225,185,0.213566187,185,0.197513089,185
117.01,11909443,186.092454,186.092438,-0.017,-0.09,C12 H12 N O,12,12,1,1,0,13,1.083333333,0.083333333,27,6,1,0.09,1.00096E+11,0.00011898,400.2868923,0.523809524,7,-0.666666667,0.115354479,186,1.352429241,185,0.016723851,186,0.151599305,186,0.135464905,186
9.13,24754514,186.113591,186.113567,-0.024,-0.127,C9 H16 N O3,9,16,1,3,0,17,1.888888889,0.333333333,21,-1,1,0.127,1.00096E+11,0.000247307,400.2868923,-0.076923077,2,-0.888888889,0.094249072,186,1.331464292,185,0.004392755,186,0.172735022,186,0.15659879,186
317.89,3034350,187.00703,187.007053,0.023,0.125,C7 H7 O4 S,7,7,0,4,1,8,1.142857143,0.571428571,16,0,1,0.125,1.00096E+11,3.03143E-05,400.2868923,0.25,4,0.285714286,0.201760746,187,1.444915536,186,0.102645364,187,0.066505074,187,0.050291375,187
-1000,4426263,187.061192,187.061197,0.005,0.026,C8 H11 O5,8,11,0,5,0,12,1.5,0.625,18,-2,0,0.026,1.00096E+11,4.42201E-05,400.2868923,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
308.95,7377955,187.076473,187.076453,-0.02,-0.106,C12 H11 O2,12,11,0,2,0,12,1,0.166666667,26,5,0,0.106,1.00096E+11,7.37086E-05,400.2868923,0.545454545,7,-0.666666667,0.132438239,187,1.376054375,186,0.033286074,187,0.135927137,187,0.119707421,187
15.82,28183602,187.097609,187.097583,-0.026,-0.14,C9 H15 O4,9,15,0,4,0,16,1.777777778,0.444444444,20,-2,0,0.14,1.00096E+11,0.000281565,400.2868923,0,2,-0.888888889,0.111331833,187,1.355088433,186,0.012168469,187,0.157063854,187,0.140842307,187
349.12,3463758,187.13402,187.133968,-0.052,-0.279,C10 H19 O3,10,19,0,3,0,20,2,0.3,22,-2,0,0.279,1.00096E+11,3.46043E-05,400.2868923,-0.058823529,1,-1.4,0.07498746,187,1.318985935,186,0.024195188,187,0.193460422,187,0.17723572,187
5,51982096,188.071721,188.071702,-0.019,-0.099,C11 H10 N O2,11,10,1,2,0,11,1,0.181818182,25,5,1,0.099,1.00096E+11,0.000519321,400.2868923,0.555555556,7,-0.363636364,0.138300543,188,1.388532731,187,0.038620887,188,0.13149254,188,0.115186536,188
-1000,5954348,188.108089,188.108088,-0.001,-0.005,C12 H14 N O,12,14,1,1,0,15,1.25,0.083333333,27,5,1,0.005,1.00096E+11,5.94862E-05,400.2868923,0.428571429,6,-0.833333333,0.101955172,188,1.352429241,187,0.002256231,188,0.167890108,188,0.151580948,188
-1000,2984972,189.076851,189.076847,-0.004,-0.02,C8 H13 O5,8,13,0,5,0,14,1.75,0.625,18,-3,0,0.02,1.00096E+11,2.9821E-05,400.2868923,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
-1000,3820055,189.092126,189.092103,-0.023,-0.12,C12 H13 O2,12,13,0,2,0,14,1.166666667,0.166666667,26,4,0,0.12,1.00096E+11,3.81638E-05,400.2868923,0.454545455,6,-0.833333333,0.119038931,189,1.376054375,188,0.018818455,189,0.152217939,189,0.135823465,189
328.7,3589393,190.087368,190.087352,-0.016,-0.082,C11 H12 N O2,11,12,1,2,0,13,1.181818182,0.181818182,25,4,1,0.082,1.00096E+11,3.58594E-05,400.2868923,0.444444444,6,-0.545454545,0.124901235,190,1.388532731,189,0.024153268,190,0.147783342,190,0.131302579,190
-1000,4946951,191.071393,191.071368,-0.026,-0.134,C11 H11 O3,11,11,0,3,0,12,1.090909091,0.272727273,24,3,0,0.134,1.00096E+11,4.9422E-05,400.2868923,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
-1000,3716131,191.107769,191.107753,-0.016,-0.081,C12 H15 O2,12,15,0,2,0,16,1.333333333,0.166666667,26,3,0,0.081,1.00096E+11,3.71256E-05,400.2868923,0.363636364,5,-1,0.105639624,191,1.376054375,190,0.004350835,191,0.168508742,191,0.151939509,191
-1000,2953267,191.128892,191.128883,-0.01,-0.05,C9 H19 O4,9,19,0,4,0,20,2.222222222,0.444444444,20,-4,0,0.05,1.00096E+11,2.95043E-05,400.2868923,-0.285714286,0,-1.333333333,0.084533218,191,1.355088433,190,0.01676677,191,0.189645459,191,0.173074394,191
-1000,2237451,192.066569,192.066617,0.048,0.249,C10 H10 N O3,10,10,1,3,0,11,1.1,0.3,23,3,1,0.249,1.00096E+11,2.2353E-05,400.2868923,0.466666667,6,-0.2,0.1478463,192,1.424635229,191,0.046049305,192,0.127677578,192,0.11102521,192
11.69,20589350,192.103016,192.103002,-0.014,-0.073,C11 H14 N O2,11,14,1,2,0,15,1.363636364,0.181818182,25,3,1,0.073,1.00096E+11,0.000205696,400.2868923,0.333333333,5,-0.727272727,0.111501928,192,1.388532731,191,0.009685648,192,0.164074145,192,0.147418623,192
-1000,6304267,193.05064,193.050632,-0.008,-0.042,C10 H9 O4,10,9,0,4,0,10,1,0.4,22,2,0,0.042,1.00096E+11,6.29821E-05,400.2868923,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
26.41,23637542,193.087043,193.087018,-0.025,-0.132,C11 H13 O3,11,13,0,3,0,14,1.272727273,0.272727273,24,2,0,0.132,1.00096E+11,0.000236148,400.2868923,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
364.1,4341290,193.090412,193.090389,-0.023,-0.117,C8 H17 O3 S,8,17,0,3,1,18,2.25,0.375,18,-3,1,0.117,1.00096E+11,4.33712E-05,400.2868923,-0.454545455,0,-1.25,0.125217453,193,1.408812046,192,0.02287785,193,0.151775049,193,0.135033919,193
-1000,3434564,193.123446,193.123403,-0.042,-0.22,C12 H17 O2,12,17,0,2,0,18,1.5,0.166666667,26,2,0,0.22,1.00096E+11,3.43126E-05,400.2868923,0.272727273,4,-1.166666667,0.092240317,193,1.376054375,192,0.010116784,193,0.184799544,193,0.168055552,193
-1000,7029045,194.082293,194.082267,-0.026,-0.135,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,2,1,0.135,1.00096E+11,7.02229E-05,400.2868923,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
-1000,2196768,195.029898,195.029897,-0.001,-0.005,C9 H7 O5,9,7,0,5,0,8,0.888888889,0.555555556,20,1,0,0.005,1.00096E+11,2.19466E-05,400.2868923,0.538461538,6,0.222222222,0.187875125,195,1.484362861,194,0.084507565,195,0.091899644,195,0.074990357,195
5.91,71017536,195.066298,195.066282,-0.015,-0.078,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,1,0,0.078,1.00096E+11,0.000709493,400.2868923,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
-1000,2011721,195.081673,195.081539,-0.134,-0.688,C14 H11 O,14,11,0,1,0,12,0.857142857,0.071428571,30,8,0,0.688,1.00096E+11,2.00979E-05,400.2868923,0.62962963,9,-0.714285714,0.136290789,195,1.433121822,194,0.032895859,195,0.143558062,195,0.126644298,195
-1000,3993690,195.10265,195.102668,0.018,0.093,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,0.093,1.00096E+11,3.98985E-05,400.2868923,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
