mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
632.8,3270246,201.055584,201.055718,0.134,0.667,C12 H9 O3,12,9,0,3,0,10,0.833333333,0.25,26,5,0,0.667,1.14141E+11,2.86509E-05,395.0801264,0.619047619,8,-0.333333333,0.168782611,201,1.50532781,199,0.062221313,201,0.119636334,201,0.102204603,201
36.57,15069816,201.076771,201.076847,0.076,0.377,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,-2,0,0.377,1.14141E+11,0.000132028,395.0801264,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
352.27,3313285,201.092058,201.092103,0.045,0.226,C13 H13 O2,13,13,0,2,0,14,1.076923077,0.153846154,28,5,0,0.226,1.14141E+11,2.9028E-05,395.0801264,0.5,7,-0.769230769,0.132438239,201,1.469225312,200,0.025857656,201,0.156032902,201,0.138598015,201
-1000,12145302,201.113164,201.113233,0.068,0.34,C10 H17 O4,10,17,0,4,0,18,1.8,0.4,22,-2,0,0.34,1.14141E+11,0.000106406,395.0801264,0,2,-1,0.111331833,201,1.44825937,200,0.004740051,201,0.177169619,201,0.159732901,201
-1000,4065973,201.14958,201.149618,0.039,0.192,C11 H21 O3,11,21,0,3,0,22,2,0.272727273,24,-2,0,0.192,1.14141E+11,3.56224E-05,395.0801264,-0.052631579,1,-1.454545455,0.07498746,201,1.412156872,200,0.031623605,201,0.213566187,201,0.196126314,201
594.03,2133165,202.050793,202.050967,0.173,0.859,C11 H8 N O3,11,8,1,3,0,9,0.818181818,0.272727273,25,5,1,0.859,1.14141E+11,1.86889E-05,395.0801264,0.647058824,8,0,0.174644915,202,1.517806167,200,0.067556126,202,0.115201738,202,0.097683717,202
603.15,2931135,202.072038,202.072096,0.058,0.287,C8 H12 N O5,8,12,1,5,0,13,1.625,0.625,19,-2,1,0.287,1.14141E+11,2.56799E-05,395.0801264,-0.111111111,3,0,0.153539508,202,1.496841217,201,0.04643952,202,0.136337455,202,0.118817602,202
6.06,238173648,202.08728,202.087352,0.072,0.357,C12 H12 N O2,12,12,1,2,0,13,1.083333333,0.166666667,27,5,1,0.357,1.14141E+11,0.002086661,395.0801264,0.5,7,-0.5,0.138300543,202,1.481703669,201,0.03119247,202,0.151598305,202,0.13407713,202
648.13,2951935,203.05609,203.056112,0.022,0.106,C8 H11 O6,8,11,0,6,0,12,1.5,0.75,18,-3,0,0.106,1.14141E+11,2.58622E-05,395.0801264,0,3,0,0.170622269,203,1.520465359,201,0.063000744,203,0.120666287,203,0.103061119,203
190.43,9003275,203.071302,203.071368,0.065,0.322,C12 H11 O3,12,11,0,3,0,12,1,0.25,26,4,0,0.322,1.14141E+11,7.88785E-05,395.0801264,0.523809524,7,-0.5,0.155383304,203,1.50532781,201,0.047753693,203,0.135927137,203,0.118320646,203
-1000,9855261,203.092428,203.092497,0.069,0.342,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,-3,0,0.342,1.14141E+11,8.63429E-05,395.0801264,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
-1000,9521450,203.107673,203.107753,0.08,0.395,C13 H15 O2,13,15,0,2,0,16,1.230769231,0.153846154,28,4,0,0.395,1.14141E+11,8.34183E-05,395.0801264,0.416666667,6,-0.923076923,0.119038931,203,1.469225312,202,0.011390037,203,0.172323704,203,0.154714059,203
-1000,4394300,203.128803,203.128883,0.08,0.391,C10 H19 O4,10,19,0,4,0,20,2,0.4,22,-3,0,0.391,1.14141E+11,3.84989E-05,395.0801264,-0.125,1,-1.2,0.097932525,203,1.44825937,202,0.009727568,203,0.193460422,203,0.175848945,203
-1000,3488855,204.066538,204.066617,0.078,0.385,C11 H10 N O3,11,10,1,3,0,11,1,0.272727273,25,4,1,0.385,1.14141E+11,3.05662E-05,395.0801264,0.529411765,7,-0.181818182,0.161245608,204,1.517806167,202,0.053088507,204,0.13149254,204,0.11379976,204
6.63,38921336,204.102937,204.103002,0.065,0.318,C12 H14 N O2,12,14,1,2,0,15,1.25,0.166666667,27,4,1,0.318,1.14141E+11,0.000340993,395.0801264,0.4,6,-0.666666667,0.124901235,204,1.481703669,203,0.01672485,204,0.167889107,204,0.150193173,204
-1000,4238748,205.050555,205.050632,0.077,0.376,C11 H9 O4,11,9,0,4,0,10,0.909090909,0.363636364,24,3,0,0.376,1.14141E+11,3.71361E-05,395.0801264,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
23.92,12249019,205.086953,205.087018,0.065,0.316,C12 H13 O3,12,13,0,3,0,14,1.166666667,0.25,26,3,0,0.316,1.14141E+11,0.000107315,395.0801264,0.428571429,6,-0.666666667,0.141983996,205,1.50532781,203,0.033286074,205,0.152217939,205,0.13443669,205
22.7,12267482,205.123338,205.123403,0.065,0.318,C13 H17 O2,13,17,0,2,0,18,1.384615385,0.153846154,28,3,0,0.318,1.14141E+11,0.000107477,395.0801264,0.333333333,5,-1.076923077,0.105639624,205,1.469225312,204,0.003077583,205,0.188614507,205,0.170830103,205
9.52,162908160,205.159723,205.159789,0.066,0.321,C14 H21 O,14,21,0,1,0,22,1.571428571,0.071428571,30,3,0,0.321,1.14141E+11,0.001427253,395.0801264,0.259259259,4,-1.428571429,0.069294253,205,1.433121822,204,0.039442238,205,0.225012074,205,0.207224515,205
-1000,3415307,206.082226,206.082267,0.041,0.198,C11 H12 N O3,11,12,1,3,0,13,1.181818182,0.272727273,25,3,1,0.198,1.14141E+11,2.99218E-05,395.0801264,0.411764706,6,-0.363636364,0.1478463,206,1.517806167,204,0.038620887,206,0.147783342,206,0.129915804,206
-1000,2531381,207.029876,207.029897,0.021,0.101,C10 H7 O5,10,7,0,5,0,8,0.8,0.5,22,2,0,0.101,1.14141E+11,2.21777E-05,395.0801264,0.6,7,0.2,0.201274433,207,1.577533798,205,0.091546767,207,0.095714607,207,0.077764908,207
44.18,11888212,207.066216,207.066282,0.066,0.321,C11 H11 O4,11,11,0,4,0,12,1.090909091,0.363636364,24,2,0,0.321,1.14141E+11,0.000104154,395.0801264,0.444444444,6,-0.363636364,0.16493006,207,1.5414313,205,0.055183111,207,0.132111174,207,0.114158321,207
