mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
492.49,2770652,189.131797,189.13186,0.063,0.332,C10 H21 O S,10,21,0,1,1,22,2.2,0.1,22,-1,1,0.332,64085543474,4.32337E-05,373.6465182,-0.176470588,0,-1.8,0.079326325,189,1.336606058,188,0.020915224,189,0.191987579,189,0.175589657,189
-1000,4408415,191.071517,191.071368,-0.149,-0.779,C11 H11 O3,11,11,0,3,0,12,1.090909091,0.272727273,24,3,0,0.779,64085543474,6.87895E-05,373.6465182,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
-1000,8550522,191.107926,191.107753,-0.173,-0.903,C12 H15 O2,12,15,0,2,0,16,1.333333333,0.166666667,26,3,0,0.903,64085543474,0.000133424,373.6465182,0.363636364,5,-1,0.105639624,191,1.376054375,190,0.004350835,191,0.168508742,191,0.151939509,191
51.56,9339735,192.103143,192.103002,-0.141,-0.733,C11 H14 N O2,11,14,1,2,0,15,1.363636364,0.181818182,25,3,1,0.733,64085543474,0.000145739,373.6465182,0.333333333,5,-0.727272727,0.111501928,192,1.388532731,191,0.009685648,192,0.164074145,192,0.147418623,192
-1000,4359703,193.05074,193.050632,-0.108,-0.558,C10 H9 O4,10,9,0,4,0,10,1,0.4,22,2,0,0.558,64085543474,6.80294E-05,373.6465182,0.5,6,-0.2,0.16493006,193,1.448260363,192,0.062611528,193,0.112005409,193,0.095267727,193
19.37,26854962,193.087172,193.087018,-0.154,-0.799,C11 H13 O3,11,13,0,3,0,14,1.272727273,0.272727273,24,2,0,0.799,64085543474,0.000419049,373.6465182,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
478.33,2957365,193.090567,193.090389,-0.178,-0.92,C8 H17 O3 S,8,17,0,3,1,18,2.25,0.375,18,-3,1,0.92,64085543474,4.61471E-05,373.6465182,-0.454545455,0,-1.25,0.125217453,193,1.408812046,192,0.02287785,193,0.151775049,193,0.135033919,193
-1000,3130446,193.123552,193.123403,-0.148,-0.768,C12 H17 O2,12,17,0,2,0,18,1.5,0.166666667,26,2,0,0.768,64085543474,4.88479E-05,373.6465182,0.272727273,4,-1.166666667,0.092240317,193,1.376054375,192,0.010116784,193,0.184799544,193,0.168055552,193
384.55,2258435,194.049405,194.049253,-0.152,-0.784,C6 H12 N O4 S,6,12,1,4,1,13,2.166666667,0.666666667,15,-3,2,0.784,64085543474,3.52409E-05,373.6465182,-1.5,1,0,0.167424129,194,1.457392901,193,0.06457632,194,0.110943884,194,0.09411962,194
175.56,6651164,194.082417,194.082267,-0.15,-0.774,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,2,1,0.774,64085543474,0.000103786,373.6465182,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
5.16,50191360,195.066426,195.066282,-0.144,-0.738,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,1,0,0.738,64085543474,0.000783193,373.6465182,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
-1000,3776542,195.10281,195.102668,-0.142,-0.728,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,0.728,64085543474,5.89297E-05,373.6465182,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
5.08,21572666,195.139208,195.139053,-0.154,-0.79,C12 H19 O2,12,19,0,2,0,20,1.666666667,0.166666667,26,1,0,0.79,64085543474,0.000336623,373.6465182,0.181818182,3,-1.333333333,0.07884101,195,1.376054375,194,0.024584404,195,0.201090347,195,0.184171596,195
-1000,2706194,196.098085,196.097917,-0.168,-0.855,C10 H14 N O3,10,14,1,3,0,15,1.5,0.3,23,1,1,0.855,64085543474,4.22278E-05,373.6465182,0.2,4,-0.6,0.121047686,196,1.424635229,195,0.017114066,196,0.160259182,196,0.143257297,196
390.68,3708915,197.060943,197.060803,-0.14,-0.71,C13 H9 O2,13,9,0,2,0,10,0.769230769,0.153846154,28,7,0,0.71,64085543474,5.78744E-05,373.6465182,0.666666667,9,-0.461538462,0.159236853,197,1.469225312,196,0.054792895,197,0.123451297,197,0.106365928,197
1.84,1143087616,197.08207,197.081932,-0.137,-0.696,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0,0.696,64085543474,0.017836903,373.6465182,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
612.11,2678796,197.093282,197.093166,-0.117,-0.592,C9 H13 N2 O3,9,13,2,3,0,14,1.555555556,0.333333333,22,1,2,0.592,64085543474,4.18003E-05,373.6465182,0.090909091,4,-0.222222222,0.12690999,197,1.437113586,196,0.022448879,197,0.155824586,197,0.138736411,197
285.11,5124639,197.118451,197.118318,-0.133,-0.673,C11 H17 O3,11,17,0,3,0,18,1.636363636,0.272727273,24,0,0,0.673,64085543474,7.99656E-05,373.6465182,0.157894737,3,-1.090909091,0.101786075,197,1.412156872,196,0.002688367,197,0.180984582,197,0.163894227,197
18.12,15071803,197.154845,197.154703,-0.142,-0.72,C12 H21 O2,12,21,0,2,0,22,1.833333333,0.166666667,26,0,0,0.72,64085543474,0.000235183,373.6465182,0.090909091,2,-1.5,0.065441703,197,1.376054375,196,0.039052023,197,0.217381149,197,0.200287639,197
-1000,2076120,198.023254,198.023038,-0.216,-1.092,C8 H8 N O3 S,8,8,1,3,1,9,1.125,0.375,19,2,2,1.092,64085543474,3.23961E-05,373.6465182,0.333333333,5,0.25,0.198076293,198,1.51446134,196,0.093122342,198,0.085992204,198,0.068823409,198
-1000,2235166,198.113671,198.113567,-0.104,-0.527,C10 H16 N O3,10,16,1,3,0,17,1.7,0.3,23,0,1,0.527,64085543474,3.48779E-05,373.6465182,0.066666667,3,-0.8,0.107648379,198,1.424635229,197,0.002646447,198,0.176549985,198,0.159373341,198
653.36,11366397,199.061335,199.061197,-0.138,-0.694,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,-1,0,0.694,64085543474,0.000177363,373.6465182,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
-1000,9179161,199.097729,199.097583,-0.146,-0.735,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,-1,0,0.735,64085543474,0.000143233,373.6465182,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
-1000,4934710,199.134115,199.133968,-0.147,-0.737,C11 H19 O3,11,19,0,3,0,20,1.818181818,0.272727273,24,-1,0,0.737,64085543474,7.70019E-05,373.6465182,0.052631579,2,-1.272727273,0.088386768,199,1.412156872,198,0.017155986,199,0.197275384,199,0.18001027,199
26.84,44157008,199.170485,199.170354,-0.131,-0.659,C12 H23 O2,12,23,0,2,0,24,2,0.166666667,26,-1,0,0.659,64085543474,0.000689032,373.6465182,0,1,-1.666666667,0.052041397,199,1.376053382,198,0.053520642,199,0.233672952,199,0.216404683,199
665.82,2694417,200.071919,200.071702,-0.217,-1.086,C12 H10 N O2,12,10,1,2,0,11,0.916666667,0.166666667,27,6,1,1.086,64085543474,4.20441E-05,373.6465182,0.6,8,-0.333333333,0.15169985,200,1.481703669,199,0.045660089,200,0.135307502,200,0.117961086,200
649.68,2738478,200.108208,200.108088,-0.121,-0.603,C13 H14 N O,13,14,1,1,0,15,1.153846154,0.076923077,29,6,1,0.603,64085543474,4.27316E-05,373.6465182,0.47826087,7,-0.769230769,0.115354479,200,1.445600179,199,0.009295433,200,0.17170507,200,0.154355499,200
-1000,2616126,200.129355,200.129217,-0.138,-0.689,C10 H18 N O3,10,18,1,3,0,19,1.9,0.3,23,-1,1,0.689,64085543474,4.08224E-05,373.6465182,-0.066666667,2,-1,0.094249072,200,1.424635229,199,0.011821173,200,0.192840787,200,0.175489384,200
716.03,2663957,201.055789,201.055718,-0.071,-0.355,C12 H9 O3,12,9,0,3,0,10,0.833333333,0.25,26,5,0,0.355,64085543474,4.15688E-05,373.6465182,0.619047619,8,-0.333333333,0.168782611,201,1.50532781,199,0.062221313,201,0.119636334,201,0.102204603,201
-1000,11075110,201.076963,201.076847,-0.116,-0.578,C9 H13 O5,9,13,0,5,0,14,1.555555556,0.555555556,20,-2,0,0.578,64085543474,0.000172818,373.6465182,0.076923077,3,-0.444444444,0.147677204,201,1.484362861,200,0.041104707,201,0.140772052,201,0.123338488,201
