mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,1951768,162.056079,162.056052,-0.027,-0.165,C9 H8 N O2,9,8,1,2,0,9,1,0.222222222,21,4,1,0.165,1.01151E+11,1.92957E-05,391.4317544,0.571428571,6,-0.222222222,0.124901235,162,1.202190857,161,0.039010103,162,0.107571813,162,0.093521391,162
-1000,2148575,167.017204,167.017224,0.02,0.118,C8 H7 O2 S,8,7,0,2,1,8,1,0.25,18,3,1,0.118,1.01151E+11,2.12413E-05,391.4317544,0.5,5,-0.25,0.169268924,167,1.27953861,166,0.080748327,167,0.070321036,167,0.055840476,167
-1000,1976306,167.0504,167.050238,-0.162,-0.968,C12 H7 O,12,7,0,1,0,8,0.666666667,0.083333333,26,8,0,0.968,1.01151E+11,1.95382E-05,391.4317544,0.739130435,9,-0.5,0.136291788,167,1.246780939,166,0.047753693,167,0.103345532,167,0.088862109,167
444.35,2706052,167.082564,167.082601,0.037,0.223,C8 H11 N2 O2,8,11,2,2,0,12,1.5,0.25,20,2,2,0.223,1.01151E+11,2.67527E-05,391.4317544,0.2,4,-0.25,0.103964925,167,1.214669213,166,0.015409678,167,0.135718821,167,0.121232592,167
707.45,2193007,172.076709,172.076788,0.078,0.454,C11 H10 N O,11,10,1,1,0,11,1,0.090909091,25,6,1,0.454,1.01151E+11,2.16806E-05,391.4317544,0.578947368,7,-0.545454545,0.115354479,172,1.259258304,171,0.024152268,172,0.13149354,172,0.116574311,172
614.5,2658819,172.108962,172.10915,0.188,1.094,C7 H14 N3 O2,7,14,3,2,0,15,2.142857143,0.285714286,19,0,3,1.094,1.01151E+11,2.62857E-05,391.4317544,-0.666666667,2,-0.285714286,0.083028614,172,1.22714757,171,0.008190748,172,0.163865829,172,0.148943793,172
399.64,2372095,179.074629,179.074739,0.11,0.616,C7 H15 O3 S,7,15,0,3,1,16,2.285714286,0.428571429,16,-3,1,0.616,1.01151E+11,2.34511E-05,391.4317544,-0.555555556,0,-1.142857143,0.125217453,179,1.315641108,178,0.030306267,179,0.131669284,179,0.116143325,179
-1000,2095822,193.046578,193.04661,0.032,0.164,C5 H9 N2 O6,5,9,2,6,0,10,2,1.2,14,-4,2,0.164,1.01151E+11,2.07198E-05,391.4317544,65535,2,1.6,0.168947569,193,1.452251135,192,0.066631169,193,0.107982131,193,0.091244797,193
-1000,2203123,195.102871,195.102668,-0.203,-1.041,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,1.041,1.01151E+11,2.17806E-05,391.4317544,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
-1000,2013618,196.015331,196.01525,-0.081,-0.413,C10 H2 N3 O2,10,2,3,2,0,3,0.3,0.2,25,9,3,0.413,1.01151E+11,1.99071E-05,391.4317544,1.166666667,11,1,0.203622379,196,1.506660383,194,0.099732574,196,0.077565901,196,0.060571183,196
-1000,2111917,197.986468,197.986652,0.185,0.932,C7 H4 N O4 S,7,4,1,4,1,5,0.714285714,0.571428571,17,2,2,0.932,1.01151E+11,2.08789E-05,391.4317544,0.666666667,6,1.142857143,0.234421664,198,1.55056483,196,0.129486998,198,0.049594637,198,0.032428996,198
600.64,2422221,214.087562,214.087352,-0.209,-0.978,C13 H12 N O2,13,12,1,2,0,13,1,0.153846154,29,6,1,0.978,1.01151E+11,2.39467E-05,391.4317544,0.545454545,8,-0.461538462,0.15169985,214,1.574874606,212,0.038231671,214,0.155413267,214,0.13685168,214
-1000,2226339,221.078004,221.07791,-0.094,-0.427,C7 H13 N2 O6,7,13,2,6,0,14,2,0.857142857,18,-4,2,0.427,1.01151E+11,2.20101E-05,391.4317544,-1.5,2,0.571428571,0.168947569,221,1.63859301,219,0.051774334,221,0.14819366,221,0.129025985,221
449.37,4029379,221.118428,221.118318,-0.11,-0.499,C13 H17 O3,13,17,0,3,0,18,1.384615385,0.230769231,28,2,0,0.499,1.01151E+11,3.98354E-05,391.4317544,0.304347826,5,-0.923076923,0.128584689,221,1.598498747,219,0.011390037,221,0.188614507,221,0.169443327,221
