mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
41.03,27782260,193.087167,193.087018,-0.149,-0.77,C11 H13 O3,11,13,0,3,0,14,1.272727273,0.272727273,24,2,0,0.77,1.12646E+11,0.000246633,387.3204028,0.368421053,5,-0.727272727,0.128584689,193,1.412156872,192,0.026246872,193,0.148402977,193,0.131662139,193
482.83,2419831,193.090519,193.090389,-0.13,-0.673,C8 H17 O3 S,8,17,0,3,1,18,2.25,0.375,18,-3,1,0.673,1.12646E+11,2.14817E-05,387.3204028,-0.454545455,0,-1.25,0.125217453,193,1.408812046,192,0.02287785,193,0.151775049,193,0.135033919,193
-1000,2464912,193.123495,193.123403,-0.092,-0.476,C12 H17 O2,12,17,0,2,0,18,1.5,0.166666667,26,2,0,0.476,1.12646E+11,2.18819E-05,387.3204028,0.272727273,4,-1.166666667,0.092240317,193,1.376054375,192,0.010116784,193,0.184799544,193,0.168055552,193
-1000,6739834,194.082409,194.082267,-0.142,-0.733,C10 H12 N O3,10,12,1,3,0,13,1.3,0.3,23,2,1,0.733,1.12646E+11,5.9832E-05,387.3204028,0.333333333,5,-0.4,0.134446993,194,1.424635229,193,0.031581686,194,0.14396838,194,0.127141253,194
-1000,2829747,194.155209,194.155038,-0.171,-0.88,C12 H20 N O,12,20,1,1,0,21,1.75,0.083333333,27,2,1,0.88,1.12646E+11,2.51207E-05,387.3204028,0.142857143,3,-1.333333333,0.06175725,194,1.352429241,193,0.041146627,194,0.216762515,194,0.199929079,194
7.4,52634236,195.066421,195.066282,-0.139,-0.711,C10 H11 O4,10,11,0,4,0,12,1.2,0.4,22,1,0,0.711,1.12646E+11,0.000467253,387.3204028,0.375,5,-0.4,0.151530753,195,1.448260363,194,0.048143909,195,0.128296212,195,0.11138377,195
495.44,2767513,195.102823,195.102668,-0.156,-0.797,C11 H15 O3,11,15,0,3,0,16,1.454545455,0.272727273,24,1,0,0.797,1.12646E+11,2.45682E-05,387.3204028,0.263157895,4,-0.909090909,0.115185382,195,1.412156872,194,0.011779253,195,0.164693779,195,0.147778183,195
5.59,16390837,195.139196,195.139053,-0.143,-0.732,C12 H19 O2,12,19,0,2,0,20,1.666666667,0.166666667,26,1,0,0.732,1.12646E+11,0.000145507,387.3204028,0.181818182,3,-1.333333333,0.07884101,195,1.376054375,194,0.024584404,195,0.201090347,195,0.184171596,195
-1000,4602281,196.098071,196.097917,-0.154,-0.784,C10 H14 N O3,10,14,1,3,0,15,1.5,0.3,23,1,1,0.784,1.12646E+11,4.08561E-05,387.3204028,0.2,4,-0.6,0.121047686,196,1.424635229,195,0.017114066,196,0.160259182,196,0.143257297,196
-1000,2831523,197.060974,197.060803,-0.171,-0.869,C13 H9 O2,13,9,0,2,0,10,0.769230769,0.153846154,28,7,0,0.869,1.12646E+11,2.51365E-05,387.3204028,0.666666667,9,-0.461538462,0.159236853,197,1.469225312,196,0.054792895,197,0.123451297,197,0.106365928,197
3.52,1072572608,197.08206,197.081932,-0.128,-0.649,C10 H13 O4,10,13,0,4,0,14,1.4,0.4,22,0,0,0.649,1.12646E+11,0.009521619,387.3204028,0.25,4,-0.6,0.138131446,197,1.448260363,196,0.033676289,197,0.144587014,197,0.127499814,197
-1000,4716753,197.118448,197.118318,-0.13,-0.659,C11 H17 O3,11,17,0,3,0,18,1.636363636,0.272727273,24,0,0,0.659,1.12646E+11,4.18723E-05,387.3204028,0.157894737,3,-1.090909091,0.101786075,197,1.412156872,196,0.002688367,197,0.180984582,197,0.163894227,197
-1000,13586669,197.154843,197.154703,-0.14,-0.709,C12 H21 O2,12,21,0,2,0,22,1.833333333,0.166666667,26,0,0,0.709,1.12646E+11,0.000120614,387.3204028,0.090909091,2,-1.5,0.065441703,197,1.376054375,196,0.039052023,197,0.217381149,197,0.200287639,197
-1000,3507148,198.07723,198.077181,-0.048,-0.244,C9 H12 N O4,9,12,1,4,0,13,1.444444444,0.444444444,21,0,1,0.244,1.12646E+11,3.11342E-05,387.3204028,0.166666667,4,-0.222222222,0.14399375,198,1.46073872,197,0.039011103,198,0.140152417,198,0.122978928,198
623.1,7000800,199.061333,199.061197,-0.136,-0.685,C9 H11 O5,9,11,0,5,0,12,1.333333333,0.555555556,20,-1,0,0.685,1.12646E+11,6.21487E-05,387.3204028,0.230769231,4,-0.222222222,0.161076511,199,1.484362861,198,0.055572327,199,0.124481249,199,0.107222445,199
59.23,9735933,199.097707,199.097583,-0.124,-0.623,C10 H15 O4,10,15,0,4,0,16,1.6,0.4,22,-1,0,0.623,1.12646E+11,8.64294E-05,387.3204028,0.125,3,-0.8,0.12473114,199,1.44825937,198,0.019207671,199,0.160878817,199,0.143616857,199
